request_id,created_at,completed_at,caisse,service,request_type,sla_days,processing_days,is_completed,is_success,team_size_fte,productivity_target,within_sla
REQ-00023554,2025-01-01,2025-01-07 02:57:57.700960220,Caisse 02,Affiliation,Réclamation,10,6.12,True,False,15,28.03,True
REQ-00011080,2025-01-01,2025-01-06 04:57:06.336763444,Caisse 06,Indemnités journalières,Demande standard,8,5.21,True,True,17,40.45,True
REQ-00007363,2025-01-01,2025-01-05 19:31:30.482875744,Caisse 05,Indemnités journalières,Mise à jour dossier,8,4.81,True,True,30,38.02,True
REQ-00010964,2025-01-01,2025-01-05 14:37:02.476172360,Caisse 05,Indemnités journalières,Demande standard,8,4.61,True,True,26,31.17,True
REQ-00021997,2025-01-01,2025-01-06 14:20:01.803603289,Caisse 04,Accidents du travail,Demande standard,10,5.6,True,True,14,34.58,True
REQ-00002442,2025-01-01,2025-01-04 19:18:48.358650579,Caisse 03,Indemnités journalières,Justificatif,8,3.8,True,True,23,28.24,True
REQ-00026365,2025-01-01,2025-01-05 10:52:25.589115243,Caisse 06,Remboursements,Demande standard,5,4.45,True,True,10,37.84,True
REQ-00026404,2025-01-01,2025-01-04 11:05:48.318612864,Caisse 06,Remboursements,Mise à jour dossier,5,3.46,True,True,21,33.89,True
REQ-00020329,2025-01-01,2025-01-08 21:27:46.154804201,Caisse 08,Indemnités journalières,Mise à jour dossier,8,7.89,True,False,16,42.92,True
REQ-00020390,2025-01-01,2025-01-03 18:56:03.190783130,Caisse 06,Affiliation,Justificatif,10,2.79,True,True,25,36.79,True
REQ-00028093,2025-01-01,2025-01-04 11:57:53.710281492,Caisse 04,Complémentaire santé,Demande standard,7,3.5,True,True,9,37.27,True
REQ-00026507,2025-01-01,2025-01-01 03:36:00.000000000,Caisse 05,Affiliation,Demande standard,10,0.15,True,True,19,33.19,True
REQ-00003674,2025-01-01,2025-01-12 20:22:19.484856805,Caisse 08,Affiliation,Demande standard,10,11.85,True,True,20,33.76,False
REQ-00002316,2025-01-01,2025-01-06 05:12:29.134904880,Caisse 05,Accidents du travail,Réclamation,10,5.22,True,True,22,32.77,True
REQ-00004691,2025-01-01,2025-01-03 22:24:47.390903683,Caisse 05,Affiliation,Demande standard,10,2.93,True,True,19,32.47,True
REQ-00014018,2025-01-01,2025-01-06 02:18:09.052951268,Caisse 08,Accidents du travail,Demande standard,10,5.1,True,True,12,42.21,True
REQ-00020102,2025-01-01,2025-01-09 01:32:33.119608986,Caisse 07,Indemnités journalières,Demande standard,8,8.06,True,True,21,39.9,False
REQ-00008283,2025-01-01,2025-01-09 16:40:56.398110464,Caisse 04,Affiliation,Justificatif,10,8.7,True,True,28,43.16,True
REQ-00027984,2025-01-01,2025-01-05 03:43:24.145105837,Caisse 05,Indemnités journalières,Réclamation,8,4.16,True,True,23,25.06,True
REQ-00020231,2025-01-01,2025-01-05 11:45:55.144655424,Caisse 04,Remboursements,Demande standard,5,4.49,True,True,19,38.62,True
REQ-00015475,2025-01-01,2025-01-06 03:26:41.799135209,Caisse 04,Complémentaire santé,Mise à jour dossier,7,5.14,True,True,11,34.38,True
REQ-00019063,2025-01-01,2025-01-04 08:44:17.638134645,Caisse 04,Accidents du travail,Demande standard,10,3.36,True,True,26,30.82,True
REQ-00023819,2025-01-01,2025-01-15 23:43:36.810261912,Caisse 04,Accidents du travail,Réclamation,10,14.99,True,True,18,30.23,False
REQ-00018677,2025-01-01,2025-01-05 02:19:36.547418896,Caisse 08,Accidents du travail,Demande standard,10,4.1,True,True,23,45.94,True
REQ-00018693,2025-01-01,2025-01-10 13:08:30.558826780,Caisse 08,Complémentaire santé,Justificatif,7,9.55,True,True,23,28.5,False
REQ-00001409,2025-01-01,2025-01-02 12:16:01.525298315,Caisse 03,Complémentaire santé,Demande standard,7,1.51,True,True,8,29.92,True
REQ-00014062,2025-01-01,2025-01-01 21:51:04.720799096,Caisse 08,Indemnités journalières,Demande standard,8,0.91,True,False,20,39.01,True
REQ-00020436,2025-01-01,2025-01-02 19:39:19.487878387,Caisse 06,Affiliation,Ouverture de droits,10,1.82,True,True,11,34.85,True
REQ-00009284,2025-01-01,2025-01-04 01:56:33.568136272,Caisse 06,Indemnités journalières,Ouverture de droits,8,3.08,True,False,21,36.69,True
REQ-00028824,2025-01-01,2025-01-03 02:56:52.066634844,Caisse 08,Remboursements,Demande standard,5,2.12,True,True,23,45.76,True
REQ-00002259,2025-01-01,2025-01-02 10:44:04.416603241,Caisse 01,Remboursements,Demande standard,5,1.45,True,False,9,34.36,True
REQ-00005083,2025-01-01,2025-01-17 06:04:17.393891851,Caisse 02,Affiliation,Demande standard,10,16.25,True,True,16,30.14,False
REQ-00001488,2025-01-01,2025-01-11 06:39:46.802900655,Caisse 08,Accidents du travail,Demande standard,10,10.28,True,True,9,41.04,False
REQ-00021840,2025-01-01,2025-01-06 00:14:15.330152186,Caisse 04,Indemnités journalières,Demande standard,8,5.01,True,True,13,34.54,True
REQ-00027839,2025-01-01,2025-01-04 14:28:37.107721418,Caisse 01,Remboursements,Demande standard,5,3.6,True,True,21,24.23,True
REQ-00021355,2025-01-01,2025-01-03 08:53:19.092171805,Caisse 08,Indemnités journalières,Demande standard,8,2.37,True,True,15,26.19,True
REQ-00006302,2025-01-01,2025-01-04 07:34:43.337231938,Caisse 03,Remboursements,Mise à jour dossier,5,3.32,True,True,24,29.87,True
REQ-00029547,2025-01-01,2025-01-01 15:32:26.039579274,Caisse 08,Affiliation,Justificatif,10,0.65,True,True,22,34.89,True
REQ-00027687,2025-01-01,2025-01-04 04:59:13.216450001,Caisse 02,Accidents du travail,Mise à jour dossier,10,3.21,True,True,28,35.83,True
REQ-00016070,2025-01-01,2025-01-04 15:03:03.214652448,Caisse 03,Remboursements,Réclamation,5,3.63,True,True,22,27.7,True
REQ-00005760,2025-01-01,2025-01-12 06:06:10.957278156,Caisse 06,Indemnités journalières,Mise à jour dossier,8,11.25,True,True,17,32.67,False
REQ-00020051,2025-01-01,2025-01-03 02:34:11.388075556,Caisse 02,Indemnités journalières,Demande standard,8,2.11,True,True,23,32.01,True
REQ-00019734,2025-01-01,2025-01-08 14:03:54.915780412,Caisse 06,Remboursements,Ouverture de droits,5,7.59,True,True,22,30.85,False
REQ-00024982,2025-01-01,2025-01-02 18:04:25.967264197,Caisse 04,Remboursements,Réclamation,5,1.75,True,True,13,30.5,True
REQ-00007006,2025-01-01,2025-01-07 10:24:07.094207859,Caisse 05,Affiliation,Demande standard,10,6.43,True,True,8,31.85,True
REQ-00012240,2025-01-01,2025-01-02 14:59:54.596195816,Caisse 04,Remboursements,Justificatif,5,1.62,True,True,28,28.78,True
REQ-00003674,2025-01-01,2025-01-12 20:22:19.484856805,Caisse 08,Affiliation,Demande standard,10,11.85,True,True,20,33.76,False
REQ-00006906,2025-01-01,2025-01-02 21:06:24.993736542,Caisse 07,Remboursements,Mise à jour dossier,5,1.88,True,True,21,33.94,True
REQ-00025833,2025-01-01,2025-01-04 04:44:59.661817218,Caisse 05,Affiliation,Demande standard,10,3.2,True,False,13,36.66,True
REQ-00004111,2025-01-02,2025-01-07 21:45:18.447027307,Caisse 05,Indemnités journalières,Demande standard,8,5.91,True,True,26,36.12,True
REQ-00015272,2025-01-02,2025-01-20 09:36:56.623680080,Caisse 04,Accidents du travail,Réclamation,10,18.4,True,True,13,38.04,False
REQ-00009106,2025-01-02,2025-01-04 03:17:21.506320060,Caisse 05,Remboursements,Ouverture de droits,5,2.14,True,True,8,24.41,True
REQ-00026801,2025-01-02,2025-01-05 22:12:14.638584530,Caisse 06,Indemnités journalières,Demande standard,8,3.93,True,True,14,29.95,True
REQ-00008838,2025-01-02,2025-01-03 19:00:05.010775407,Caisse 06,Complémentaire santé,Mise à jour dossier,7,1.79,True,True,18,31.74,True
REQ-00020426,2025-01-02,2025-01-07 08:50:31.924210479,Caisse 06,Complémentaire santé,Demande standard,7,5.37,True,True,28,30.99,True
REQ-00013959,2025-01-02,2025-01-09 16:59:09.288746833,Caisse 08,Indemnités journalières,Demande standard,8,7.71,True,True,22,43.61,True
REQ-00025311,2025-01-02,2025-01-07 10:03:01.469591769,Caisse 08,Indemnités journalières,Réclamation,8,5.42,True,True,19,38.29,True
REQ-00008630,2025-01-02,2025-01-04 08:31:57.428007504,Caisse 04,Indemnités journalières,Demande standard,8,2.36,True,True,12,31.67,True
REQ-00001996,2025-01-02,2025-01-05 07:55:38.377282955,Caisse 07,Indemnités journalières,Demande standard,8,3.33,True,True,13,32.36,True
REQ-00004627,2025-01-02,2025-01-04 03:58:24.608616378,Caisse 07,Affiliation,Demande standard,10,2.17,True,True,23,36.46,True
REQ-00006741,2025-01-02,2025-01-03 10:37:25.303896321,Caisse 06,Remboursements,Demande standard,5,1.44,True,True,28,41.36,True
REQ-00028514,2025-01-02,2025-01-02 14:49:09.732164505,Caisse 05,Remboursements,Mise à jour dossier,5,0.62,True,True,15,39.34,True
REQ-00001913,2025-01-02,2025-01-08 11:45:52.022605386,Caisse 04,Remboursements,Demande standard,5,6.49,True,True,23,25.38,False
REQ-00006984,2025-01-02,2025-01-13 21:30:38.969751686,Caisse 05,Complémentaire santé,Demande standard,7,11.9,True,True,8,42.13,False
REQ-00026132,2025-01-02,2025-01-08 14:58:19.956280451,Caisse 05,Complémentaire santé,Réclamation,7,6.62,True,True,27,41.45,True
